workforce,staff_N,year,scenario,oncosts,structure,cost_per_head,total_cost,exeter_saving_per_yr,extra_posts_at_exeter_avg
E&R + Education-only,1155,2025-26,even,incl,Birmingham,65685,75865928,6197041,87.2
E&R + Education-only,1155,2025-26,even,incl,York,66208,76469859,5593110,78.7
E&R + Education-only,1155,2025-26,even,incl,Warwick,66977,77358780,4704189,66.2
E&R + Education-only,1155,2025-26,even,incl,Nottingham,67778,78283955,3779014,53.2
E&R + Education-only,1155,2025-26,even,incl,Southampton,67818,78329579,3733390,52.5
E&R + Education-only,1155,2025-26,even,incl,Liverpool,70038,80893664,1169305,16.5
E&R + Education-only,1155,2025-26,even,incl,Durham,67038,77429374,4633595,65.2
E&R + Education-only,1155,2025-26,even,incl,Sheffield,65648,75823306,6239664,87.8
E&R + Education-only,1155,2025-26,top,salary only,Exeter,55941,64611472,0,0.0
E&R + Education-only,1155,2025-26,top,salary only,Bristol,54851,63352499,1258973,22.5
E&R + Education-only,1155,2025-26,top,salary only,Leeds,57092,65941314,-1329842,-23.8
E&R + Education-only,1155,2025-26,top,salary only,Cardiff,54454,62893908,1717564,30.7
E&R + Education-only,1155,2025-26,top,salary only,Birmingham,52625,60782232,3829240,68.5
E&R + Education-only,1155,2025-26,top,salary only,York,53021,61239816,3371656,60.3
E&R + Education-only,1155,2025-26,top,salary only,Warwick,53955,62317822,2293649,41.0
E&R + Education-only,1155,2025-26,top,salary only,Nottingham,54801,63295023,1316449,23.5
E&R + Education-only,1155,2025-26,top,salary only,Southampton,54686,63161841,1449631,25.9
E&R + Education-only,1155,2025-26,top,salary only,Liverpool,56241,64958377,-346906,-6.2
E&R + Education-only,1155,2025-26,top,salary only,Durham,53467,61754764,2856708,51.1
E&R + Education-only,1155,2025-26,top,salary only,Sheffield,52583,60733084,3878388,69.3
E&R + Education-only,1155,2025-26,top,incl,Exeter,71973,83128663,0,0.0
E&R + Education-only,1155,2025-26,top,incl,Bristol,70556,81491999,1636665,22.7
E&R + Education-only,1155,2025-26,top,incl,Leeds,73470,84857458,-1728795,-24.0
E&R + Education-only,1155,2025-26,top,incl,Cardiff,70040,80895830,2232833,31.0
E&R + Education-only,1155,2025-26,top,incl,Birmingham,67663,78150652,4978012,69.2
E&R + Education-only,1155,2025-26,top,incl,York,68178,78745511,4383152,60.9
E&R + Education-only,1155,2025-26,top,incl,Warwick,69391,80146919,2981744,41.4
E&R + Education-only,1155,2025-26,top,incl,Nottingham,70491,81417280,1711384,23.8
E&R + Education-only,1155,2025-26,top,incl,Southampton,70341,81244144,1884520,26.2
E&R + Education-only,1155,2025-26,top,incl,Liverpool,72363,83579641,-450977,-6.3
E&R + Education-only,1155,2025-26,top,incl,Durham,68758,79414943,3713721,51.6
E&R + Education-only,1155,2025-26,top,incl,Sheffield,67608,78086759,5041904,70.1
E&R + Education-only,1155,2026-27(+2%),bottom,salary only,Exeter,55612,64231381,0,0.0
E&R + Education-only,1155,2026-27(+2%),bottom,salary only,Bristol,53609,61918919,2312462,41.6
E&R + Education-only,1155,2026-27(+2%),bottom,salary only,Leeds,55097,63636544,594837,10.7
E&R + Education-only,1155,2026-27(+2%),bottom,salary only,Cardiff,53791,62129181,2102200,37.8
E&R + Education-only,1155,2026-27(+2%),bottom,salary only,Birmingham,50574,58412618,5818763,104.6
E&R + Education-only,1155,2026-27(+2%),bottom,salary only,York,50990,58893589,5337792,96.0
E&R + Education-only,1155,2026-27(+2%),bottom,salary only,Warwick,51246,59188945,5042436,90.7
E&R + Education-only,1155,2026-27(+2%),bottom,salary only,Nottingham,51640,59644014,4587367,82.5
E&R + Education-only,1155,2026-27(+2%),bottom,salary only,Southampton,51819,59851453,4379928,78.8
E&R + Education-only,1155,2026-27(+2%),bottom,salary only,Liverpool,53717,62042628,2188753,39.4
